runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits
60,CAISO,System,10,0.032141,LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744014.3731,3216.686687,-191423.6339,-158414.3961,33009.23783,36225.92451,-76557.10847,79773.79515,3216.686687,98.14213426,36324.06665
61,CAISO,System,10,0.0160705,50% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743957.7784,3273.281402,-191423.6339,-158414.3961,33009.23783,36282.51923,-76557.10847,79830.38987,3273.281402,3.011883366,36285.53111
62,CAISO,System,10,0.0482115,150% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744165.0848,3065.974923,-191423.6339,-158414.3961,33009.23783,36075.21275,-76611.54972000001,79677.52465,3065.974923,311.3503474,36386.5631
63,CAISO,System,30,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-574270.9017,-475243.1882,99027.71348,102303.8096,-76557.10847,79833.20456,3276.096093,0.0,102303.8096
64,CAISO,System,30,0.12,Low flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744027.9622,3203.097573,-574270.9017,-475243.1882,99027.71348,102230.8111,-76557.10847,79760.20604,3203.097573,83.18129701,102313.9924
65,CAISO,System,30,0.15,Med flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-764113.3107,-16882.25091,-574270.9017,-475243.1882,99027.71348,82145.46257,-102220.1695,85337.91859,-16882.25091,21478.12848,103623.5911
66,CAISO,System,30,0.18,High flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-787608.7764,-40377.71666000001,-574270.9017,-475243.1882,99027.71348,58649.99682000001,-138787.2961,98409.57942,-40377.71666000001,52894.70477,111544.7016
67,CAISO,System,30,0.10531,Retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-746419.8001,811.2596492,-574270.9017,-475243.1882,99027.71348,99838.97313,-76826.35293,77637.61258,811.2596492,2537.463562,102376.4367
68,CAISO,System,30,0.084248,80% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744028.5223,3202.537453,-574270.9017,-475243.1882,99027.71348,102230.2509,-76557.10847,79759.64592000001,3202.537453,75.95168827,102306.2026
69,CAISO,System,30,0.126372,120% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-751310.8257,-4079.765987,-574270.9017,-475243.1882,99027.71348,94947.94749,-76826.35293,72746.58694,-4079.765987,8914.187038,103862.1345
70,CAISO,System,30,0.032141,LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744014.3731,3216.686687,-574270.9017,-475243.1882,99027.71348,102244.4002,-76557.10847,79773.79515,3216.686687,98.14213426,102342.5423
71,CAISO,System,30,0.0160705,50% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743957.7784,3273.281402,-574270.9017,-475243.1882,99027.71348,102300.9949,-76557.10847,79830.38987,3273.281402,3.011883366,102304.0068
72,CAISO,System,30,0.0482115,150% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744165.0848,3065.974923,-574270.9017,-475243.1882,99027.71348,102093.6884,-76611.54972000001,79677.52465,3065.974923,311.3503474,102405.0388
73,CAISO,System,50,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-957118.1695,-792071.9803,165046.1891,168322.2852,-76557.10847,79833.20456,3276.096093,0.0,168322.2852
74,CAISO,System,50,0.12,Low flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744027.9622,3203.097573,-957118.1695,-792071.9803,165046.1891,168249.2867,-76557.10847,79760.20604,3203.097573,83.18129701,168332.468
75,CAISO,System,50,0.15,Med flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-764113.3111,-16882.2513,-957118.1695,-792071.9803,165046.1891,148163.9378,-102220.1695,85337.9182,-16882.2513,21478.12904,169642.0669
76,CAISO,System,50,0.18,High flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-787673.2063,-40442.14655,-957118.1695,-792071.9803,165046.1891,124604.0426,-138877.1679,98435.02137,-40442.14655,52966.70793,177570.7505
77,CAISO,System,50,0.10531,Retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-746442.6555,788.4042676,-957118.1695,-792071.9803,165046.1891,165834.5934,-76826.35293,77614.75719,788.4042676,2560.318944,168394.9123
78,CAISO,System,50,0.084248,80% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744028.5223,3202.537453,-957118.1695,-792071.9803,165046.1891,168248.7266,-76557.10847,79759.64592000001,3202.537453,75.95168827,168324.6783
79,CAISO,System,50,0.126372,120% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-751310.8257,-4079.765987,-957118.1695,-792071.9803,165046.1891,160966.4231,-76826.35293,72746.58694,-4079.765987,8914.187038,169880.6102
80,CAISO,System,50,0.032141,LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744014.3731,3216.686687,-957118.1695,-792071.9803,165046.1891,168262.8758,-76557.10847,79773.79515,3216.686687,98.14213426,168361.018
81,CAISO,System,50,0.0160705,50% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743957.7784,3273.281402,-957118.1695,-792071.9803,165046.1891,168319.4705,-76557.10847,79830.38987,3273.281402,3.011883366,168322.4824
82,CAISO,System,50,0.0482115,150% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744165.0848,3065.974923,-957118.1695,-792071.9803,165046.1891,168112.1641,-76611.54972000001,79677.52465,3065.974923,311.3503474,168423.5144
83,CAISO,System,5,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-95711.81695,-79207.19803,16504.61891,19780.71501,-76557.10847,79833.20456,3276.096093,0.0,19780.71501
84,CAISO,System,5,0.12,Low flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744027.9622,3203.097573,-95711.81695,-79207.19803,16504.61891,19707.71649,-76557.10847,79760.20604,3203.097573,83.18129701,19790.897780000007
85,CAISO,System,5,0.15,Med flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-764113.3109,-16882.25115,-95711.81695,-79207.19803,16504.61891,-377.6322402,-102220.1695,85337.91834,-16882.25115,21478.12884,21100.4966
86,CAISO,System,5,0.18,High flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-787564.373,-40333.31325,-95711.81695,-79207.19803,16504.61891,-23828.69433,-138783.5584,98450.24512,-40333.31325,52852.10332,29023.40898
87,CAISO,System,5,0.10531,Retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-746421.595,809.4647186000003,-95711.81695,-79207.19803,16504.61891,17314.08363,-76826.35293,77635.81764,809.4647186000003,2539.258493,19853.34212
88,CAISO,System,5,0.084248,80% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744028.5223,3202.537453,-95711.81695,-79207.19803,16504.61891,19707.15637,-76557.10847,79759.64592000001,3202.537453,75.95168827,19783.10805
89,CAISO,System,5,0.126372,120% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-751310.8257,-4079.765987,-95711.81695,-79207.19803,16504.61891,12424.85293,-76826.35293,72746.58694,-4079.765987,8914.187038,21339.03996
90,CAISO,System,5,0.032141,LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744014.3731,3216.686687,-95711.81695,-79207.19803,16504.61891,19721.3056,-76557.10847,79773.79515,3216.686687,98.14213426,19819.44773
91,CAISO,System,5,0.0160705,50% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743957.7784,3273.281402,-95711.81695,-79207.19803,16504.61891,19777.90032,-76557.10847,79830.38987,3273.281402,3.011883366,19780.9122
92,CAISO,System,5,0.0482115,150% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744165.0848,3065.974923,-95711.81695,-79207.19803,16504.61891,19570.59384,-76611.54972000001,79677.52465,3065.974923,311.3503474,19881.94418
93,CAISO,System,10,0.15796500000000002,Customized (150% retail),2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-785774.0441,-38542.98436,-191423.6339,-158414.3961,33009.23783,-5533.746536,-138041.322,99498.3376,-38542.98436,48146.22959,42612.48306000001
94,CAISO,System,10,0.136903,Customized (130% retail),2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0597570171,-751732.5428209016,-4501.483063884545,-191423.63389000003,-158414.39606300005,33009.23782699997,28507.75476311543,-77366.00032696074,72864.51726307617,-4501.48306388456,10097.511364935695,38605.26612805112
95,CAISO,System,10,0.14743399999999998,Customized (140% retail),2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0597570171,-767759.7012458205,-20528.641488803318,-191423.63389000003,-158414.39606300002,33009.237827000004,12480.596338196687,-104248.46890813202,83719.8274193287,-20528.641488803318,27410.51006598027,39891.10640417696
96,CAISO,System,30,0.0,None,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0597570171,-748746.0978172448,-1515.0380602277585,-574270.9016699999,-395381.8970786224,178889.00459137766,177373.96653114987,-164610.14078658025,163095.10272635243,-1515.0380602277876,0.0,177373.96653114987
97,CAISO,System,30,0.12,Low flat,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0597570171,-749500.3261308356,-2269.266373818624,-574270.9016699999,-395530.7463225257,178740.15534747433,176470.8889736557,-164589.65107141688,162320.3846975981,-2269.266373818769,553.9520983192788,177024.84107197495
98,CAISO,System,30,0.15,Med flat,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0597570171,-859841.8096130114,-112610.74985599435,-574270.9016699999,-382089.7921937242,192181.10947627574,79570.35962028144,-257584.2057723834,144973.455916389,-112610.74985599439,127220.27917977312,206790.63880005453
99,CAISO,System,30,0.18,High flat,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0597570171,-882484.3737860831,-135253.314029066,-574270.9016699999,-378617.45104323135,195653.45062676872,60400.13659770269,-266683.62540814123,131430.3113790751,-135253.31402906607,174840.0748756522,235240.2114733549
