runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv
70,CA_Bishop,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-378230.1369589253,-374218.3629708604,4011.773988064961,-150095.64326333292,-111948.4796171292,38147.16364620373,42158.93763426869,-26086.86821124469,30098.642199309623,4011.773988064928,0.0,42158.93763426866,0.14752,102869.807
71,CA_Bishop,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-322670.0196389471,-322017.26285992336,652.7567790237373,-164205.40121643833,-138722.91463882677,25482.48657761156,26135.2433566353,-23046.529889562484,23699.286668586217,652.7567790237335,0.0,26135.2433566353,0.06165,1782.1870000000001
72,CA_Bishop,Market,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-422755.7013522802,-422301.66133127117,454.0400210090447,-168581.34702810395,-146269.1256371004,22312.22139100355,22766.261412012598,-23594.66307379712,24048.703094806242,454.0400210091211,0.0,22766.26141201267,0.04155,-19471.486
73,CA_Blue.Canyon,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-471793.1834998495,-471840.5810409626,-47.39754111302317,-166002.79376772902,-137855.07872534293,28147.715042386088,28100.317501273068,-28558.017766690537,28510.62022557752,-47.39754111301591,0.0,28100.317501273068,0.07293999999999999,14179.121000000001
74,CA_Blue.Canyon,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-250478.8150634996,-250040.9782258306,437.8368376689905,-85222.71914741963,-73773.59049757614,11449.128649843478,11886.965487512469,-20896.223175783227,21334.06001345221,437.8368376689905,0.0,11886.965487512469,-0.04458,-94658.035
75,CA_Blue.Canyon,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-338323.8293521689,-335560.3630982549,2763.466253913939,-126314.79621136618,-90309.54765380413,36005.24855756207,38768.714811476006,-29820.237645492598,32583.703899406544,2763.466253913947,0.0,38768.71481147601,0.13029000000000002,81482.133
76,CA_Blue.Canyon,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-464285.4163956089,-463025.8580985344,1259.558297074458,-235550.72549580515,-209897.16965513755,25653.5558406676,26913.114137742057,-23000.09041125609,24259.648708330566,1259.5582970744804,0.0,26913.11413774208,0.06615,6689.489000000001
77,CA_Blue.Canyon,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-396196.90434019634,-393258.126010966,2938.77832923038,-250567.9330983345,-204020.24288385746,46547.6902144771,49486.46854370748,-23537.060329849315,26475.838659079876,2938.7783292305608,0.0,49486.46854370767,0.18366,149096.517
78,CA_Blue.Canyon,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-325202.9139844088,-319876.930983902,5325.983000506762,-139451.3904088349,-106990.89728329882,32460.49312553605,37786.47612604282,-21504.319229182776,26830.302229689467,5325.9830005066915,0.0,37786.47612604275,0.12523,75285.549
79,CA_Blue.Canyon,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-335329.9149641015,-334362.6382875863,967.2766765152336,-181588.54958913013,-157993.41293063125,23595.136658498872,24562.413335014102,-23093.28754637,24060.564222885263,967.2766765152628,0.0,24562.41333501413,0.05239,-8140.221
